ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.563637294112,5198.761334784413,23899.68138539623
2014-02-28,5778.5383045776,-3464.5265941329585,14730.273123356368
2014-03-31,41875.34314133427,32101.4005315374,51752.83828595394
2014-04-30,25662.72454458294,16334.445623570378,35186.23066378265
2014-05-31,25711.92945566422,16428.927799481175,34815.832651323035
2014-06-30,26711.737995762152,17076.954326835894,35440.628473362136
2014-07-31,26438.133371914355,17608.383716806486,35661.10633608593
2014-08-31,30856.590178417282,21616.99136170205,40764.2634668369
2014-09-30,67621.1171978275,58260.547682925564,77021.96962083578
2014-10-31,36077.38757669492,27204.446711317643,45135.185191513985
2014-11-30,78301.26894798252,69238.20921322916,87751.99874264792
2014-12-31,69991.58474496145,60437.799230311015,79104.21933028317
2015-01-31,18738.34039346834,9731.912665431028,28104.171908740045
2015-02-28,13880.71375284105,5230.544748363374,23364.35669365777
2015-03-31,49598.625286754745,40206.482575597394,58711.390826938914
2015-04-30,34576.01697887816,25192.325343840992,43029.39552812357
2015-05-31,26387.613872863167,17984.164637876696,35665.074184653815
2015-06-30,31085.925799939105,21536.828547377667,40217.903105320605
2015-07-31,33255.71965370275,24084.427699016203,42337.33169408487
2015-08-31,40664.292447989275,31558.628188501778,49601.326445746614
2015-09-30,76492.06726744714,67086.67869948458,86253.38305306282
2015-10-31,35984.17865948579,26715.189956577313,44989.896283541515
2015-11-30,86921.11813603555,76747.4472497626,95780.68759345416
2015-12-31,75920.60690769985,67096.05366316675,85142.62428703158
2016-01-31,23165.28304647649,13931.592080424938,32474.75984683255
2016-02-29,14902.053835203384,5779.598841260287,24189.172764967952
2016-03-31,51723.803769110156,42968.27322768937,60833.13749111709
2016-04-30,33016.278395279776,23586.893255630912,42151.667871770995
2016-05-31,49868.21836205125,40420.348536400255,59458.94641957773
2016-06-30,44187.68757692148,35136.16029102184,53130.51578475504
2016-07-31,39287.642774519576,29655.57791303813,48848.10945946347
2016-08-31,37700.29365764595,28834.06059241574,46540.875179134644
2016-09-30,75996.70448634833,66637.29276683321,85795.765097004
2016-10-31,62955.82764396518,53399.72528469901,71746.51273436709
2016-11-30,88181.71063881312,79354.48222377026,97181.17598326215
2016-12-31,85608.11702130968,75918.97358789422,95429.01133902892
2017-01-31,38211.2354129784,28700.80796109111,47061.61587443519
2017-02-28,25246.65833872001,15591.261500852814,34293.26489180941
2017-03-31,61845.98790768501,52628.64718117214,71345.16956079728
2017-04-30,44535.97391645908,34824.85315410007,54500.29000490187
2017-05-31,53069.81957168151,43678.656251899316,61906.04132550658
2017-06-30,50739.8533852576,41162.940067564305,59818.676257169165
2017-07-31,48243.15004456791,39317.50871772061,58081.57487927027
2017-08-31,49797.13079011855,40302.488754009166,59744.32057748437
2017-09-30,87518.63585300744,78297.20532906384,96855.5797418939
2017-10-31,65271.07080849436,55839.24297766721,74873.63984286725
2017-11-30,99056.32109912366,89652.8899965614,107887.76124774192
2017-12-31,93756.95210653593,84419.62058367046,102724.74265482141
2018-01-31,44491.08036974026,35120.03318390606,53922.14990872127
2018-02-28,35661.18823184961,26897.265542041296,44444.92459268621
2018-03-31,71959.64053192896,62796.24041555405,81110.19745532228
2018-04-30,55942.164641653624,46764.60987362119,65773.22813736058
2018-05-31,56193.01701533072,46340.48600968448,65315.52332873419
2018-06-30,57387.9682588506,48320.39741213775,67019.50973678062
